FOOD_ID,NAME,QUANTITY,EXP_DATE,PHOTO,VERIFIED,VOLUNTEER_ID,DONOR_ID,DATE_F,SELL_OR_DONATE
45,cake,20,09-JUL-24,89504E470D0A1A0A0000000D49484452000000C6000000460806000000972BEB85000000017352474200AECE1CE90000000467414D410000B18F0BFC6105000000097048597300000EC300000EC301C76FA86400002A1C49444154785EED5D076054C5D39FF4DE7B480224400821A124F4222002D2044491AAA26243B10022204551100BD6BF8080D28B107A0945A5A90801024849209084965E2FD76FBE997DF792231C181048FCBC5FB279EFDEDB9D9D9D9DD99DD97DEF628504B0A0C682BBC760308095955579FAAF40ABD5828D8D0D585B5B1BAF3C383CF81A2DA832D820186C0C6C20FFB5318C8DA2BA60318C1A0CD9102C93FA8387C5306A30D885E0D9423EDE2D6477AC2AB34E55F2FC1760318C1A0CD91864E3B85B5F9B155DAFD7979FDF0E16C39060318CFF00D8B06C6D6DCB0DCC82BF87454AF701F2A86B3AF2DECD282C97A94CEB6EF04FCBDF0D64BEEF05FF0F1A16C3B8C7305580CACA70A74A22AF4A717ED915BA1BDCC94CF14F5C367390DB7037B8D7BCDC092C86719F616A08AC2472AA0A64A5E0F2BCA65F5583AA4960A33495C1BF0516C3B8C7604560B022AB542A50ABD5A0D3E98431C8236055474199162B556969A9A0F36F82E94C7537C6519D0665D9F9B6A0C6429E59AB3A90DC4B58660C0B2C30831A3963C82C99BA1232E46BE5B815F726D9B83C97AB4CB72AB81BE1549DFA83013924C63342E50631B3F23593F33B91D1FD02CF18DC673C633C687E6A9C61B0306421306B7262F0F582FC42282B2B83FCFC7C28282C84C28222B0B3B3070F0F0FF0F7F70537375770777707676727B0B6B12E0F5AEDECECC49169DC8990B9E63B5D57A9BE277CCC034D5A602A4F06CB823FF135564014CA08606B632B65B88790FBB6AAF2E7FCBC1A571D0F12D638C3903B8E85C7C1A642A180DCDC5CC8BA960F870F27C1C64D9BE0C2850BA037E8C1DACA1AECEDED69A0B302034AA38B5EAF83A0A060E8DBB7073C3EB03FD4AE5D1B1C1D1DCB69DF49C730FE3F1886294CBB5B563C56BACA0FECDD898CAA0A8D46738392FF5D1DA6BCDE0F7E6E871A6B186C0CFBF7EF8765CB96C1D1A347A1B84803DE5EBE502BA4163CD4F121E8D6AD2B787A7A80B7B73B58595B8152A982D252059C4F4D85B5EB12E0975F779141D843C78E1D61DCB87110151555DEF9FF39C330ED613A678350F16A19CDA6BC6AC6C6E1E4E4048E946CAC497169A6B5B6B9F78A281B2227070787BFED079EED79C75E56D107396B54AB6170D52C1C16189F2B954A484F4F87AD5BB70A83E0F388880878ECB1C7A04B97AE101D1D0DAEAE6EA4E0BC0CC8F384A022FE324C1B52505008EBD7AF87050B16C0952B57E0D34F3F857EFDFA09974A0677100BFE76609AFF46C3E0B6B16C59AEA8A781262B0F4E9E3A09E997D2E1D4A95370F2E44950AA9470EDEA3521771F1F1F68DFBE3D3CF7DC48681EDF1C6CEC6D44BF308D7FAA90CC03F3C3607AA6E97690DB20E7FBBBFCF712D56618A6D5F2F9E5CB9761E3C68D307FFE7CB876ED1A74EEDC199E7CF24968D1A20584858551E790A76C2CC326512123BEC61F647AF20DF297E912CF363C639C3B770E264E9C481DFF9C18ADB8CEAA740E53FD371A06B78F15BBB8B8188EFC91044B7F580A3B77EDA4D8CB1922C22320B856300D32AEC2CDE498AD20BF000E271D06470747F868E687D0835C51765399C63F7D2F8269F0E85F5252226241D3C1E976E0728C071D5F089000EF2B48996F0235180D7A03520C8167CF9EC359B33EC6D6ADDB20751AC6C5C5E1CA952B913A54E493A1D76BE9AF8E8E1ABA2E9D4B89F3984B12A43ACEE298316330202010131212C435C103DDBF31F7CDE07B724D554DD50693C6B07C6936C0B7DE7C0BFDBDFCB15E687DFC70F24778FCCF642C2B2C43839632B218291934065497AAF1D0DE3FB153EBCE181218864B972E458A098C72AAF8B91370599635D399376F3E76E9DC1913B727D235FD0D7D7B2BD08C215275E0BE1A06379D15859BC67210C6A0D1A346A5C7ACAB45F8E5E73F60F3A6EDD1DF3F041FEEF208CE9F3F0FFFFAEB2F24BF57EA1013E149E7D235F95C4AB782A8553AA543614131F6EE3D007BF7E98BD97939C497FE86A4177429ABB964A454D5641E7C877932976E5DAACA6012A4E47A52788D468799173371F8E343D0DFCD079F1DF60C1EFEF308EAB4D41B32932251DD06BEC6473E1848717763A3068D31D02700A74C7A0F8B0A0B504B8391C6A021F25A218F1B69D02F5D34100D03D19292D42E3ED76A949876E92276A5FE0D74F6C5D787BD8E870F9EC0DCEC7CBA27F123F7A94483894A90AF57071E9C61B0EC453F18302D251D473D37165D9C03B073A74771D3C66D989B9B471DAA2A178E3CAADF3D44ADD2291DB8D357AE588BA16175F1D8C91382AF1B9381BBD26CAA9EAEB9431885CD86515AA2C4F727BD8F01AEDE38E5ED495898572865B949D158463C6D502B85CCF598975B88F3BF5B88B5036BA31FCD348B172E46B54A4D03070D685A9E41287BA5C4B2D573A2BED56A7994E78BC40E9D171516E18B2FBE82CE0EEED8AB6D6FECD5BA2F86D78AC5664DDBE01B63C6E3B1A3C9A8524933935EFF4FFBFCDEE1811A060BEAFCB90B3864D030F4F10E128249BB902E04A2D3A928294529B903FF99906E340C2DCD547B76EFC7A0E0504C4A4E462DD1D65007CA8641632125FD4D8967939AD1557F036292DD2396F3F12327303CB80E368B88C673C74E93B1505BB45A31D870AAC08D86C10ACDE573AF17E0E2FFADC096316D31C43F0C57FCB00AB54A525ACECAC2A894D820CA141A2C2A50626E4E31665F2FC4FCBC122C292EC323879231AA5E0CD60DA88FABE6ADC3E5731370D90F9BF1C5516F906B1B8AB5826BE3860D9B84BBA51586C744AB1FF735F89603570E6FADE8A4B444016FBDF116AC5BBF0E3E9E3D0B9E1AFC140580CE1400B3814A819695152FCF895381BB5F8928AF19A8B381174556AFFE09C6BCF93A6CDCB28982FA780EB088BE14D8717CC7A210E2A0C401A76083F8B23606F4322F9C873AF0EF57B498960978D1805C66E327A627AA028905A96E0E34EFB6CDDC4EE6EB93999FC0ACF7DF8751CFBE0033E67C0CB64EF674575A6C605404B32C234ED6822F711FA564D0E8E1C8A1E3F0C69B63203F2F17BEF8620E74E9DE05720BF2E0FCF934282A2A028D462D02EACCCC2B70EE5C1A9D97424141011417158B003B20C01FD42A251CFEED0F70737081F896AD41A9D340199573757780C2C27C50D1FD71E3DF82A79E7A52C883A5542DC176253C50C3D8BFEF003C317020C4C7C5C3B2954BC1CBDBCB988BC147A9E32A8EFF041586A1D3F2A3DE081F7D341B96AD58069BB76E82F0F0F00AC5A4135B324E2E426E015CBD7A1D2E5E4C83F8F83870727114F779AF4416158DBA376C54DD0AA6A2A5D19838B186E2E212484DBD20148B15272828007C7DBDC50625D3151B969286DC31B4548756AD81D746BD0A5B12D6C1BC6FE642BF114F818E1A66CAAA39C3E00520611CF4C3E7B636642C3A3D2C98BF04264D1A0F417E7ED0B479733877F13C5CBF7E9DF2EA05AFBCB265430344807F3004060681BBBB9BA0EF47F94F9C3809DBB76D8370BF20183664380486D706B0B30647073B6810590F7C7C3D4579770F772AC32B84920EC8835575E2811AC6F2E5ABE0E5175F822FBF9C03CF8C7C5A281B8F70BCA974031366F4E2CE55852AE4D14F7434BFCFA083575F7D03DCA8E33E9CF53E29B62D28951A9A10749092721EAED1A867AD43F1C8C9CEC49DB073F72E68DFAE1D7479A433B879BB085EB9C35BC4B780FA0DEA838E14C38114E36654B48425CBCACEE54A8A4B61EB964458BC64291C3A74482C5FF2A81A1418086FBE3D1A860E1D022ECECEC42EAB2619E16D1A6CEE16D7CA86A1A05979E8E383E074D25148D8B0099AB66F017A5238625F4048C468182419FACBC968183A693F29E5FC4538F0DB6148BF7409F6FEBC1BF272B3E1EAE54CE8D2A9130C7BF61968D4280ABCBDBD8561C81B750E0EF646E5AEE0EEC0FE3FA05FDFFED0B6713358F8C302F00D0F06830D800D354EE43266152A28CE255EEE7660B897B8CF86C10D25F2481D41C24848D802C3873F0BE3C78E878993C6809DBD9DD89B1006C2058CF2308A8D0426AE0AF060625E5CA444944DDEA9259F17F4D4CB5CD68E949F67803245099C4E498137C6BC018E8E6ED0A9D3C39076210D522F9C17537F614121D8D24866658D509C9307B65A041F0F6FB023B72EB7B4100AF525D499004E76F63076FC3B30E6DDB1606D670B36AC4D049E3DE4CEA488855AAC26AED825A444CA9641B3CF8A152BE1BBFF2D81FAF51A906235827A11F5C09E9469C58AE5907A3E19C68F1B072F8F1E0DCE348292830B1A3D1914EF40B3121B8D4506AB7565599023062A9D1672B3F2A14FD7BEA0C82E869F36AE82C6AD63C040EDE2D94ACE59CE2BC98ADD4456010AA620F352066C48580FABD6FC04A9E9E962D3AFE7A38FC233CF8C806953A741EBD6ADE01D6E3B1B800907246DFAE11951E28B1FD7E1D966D23BEFC282B93FC2043ABE3DE14DB0A5F6B2C1538DC6D2D25F2E2D43624DBA5E9DB8AF86218D004C9E3AC56005070E1C817EFD06D234EB0BAB56CE87D8A6B1624A6625E35C1223DC559260D8BD90417D6B565C06A2CBA3217736EB290B9647E32B57AFC01FFB7F8373A74EC3990B2990947C1CB2B3B221A6712C04878480A7A7278DD64134F2790945AD4DD3BC0D119A3EE13D48DCB4055AC7B6845A41B5404333CAA9D453A0A591B8967F108C9F3211E2BBB407270F57969EE0814528BB276496F4470B5A52346BB42365CB848F3EF800D6AC5909DDBAF586F90BBEA759CB05F4E4DED993EF9F7A26155E7AF97938752219268C9F00A3DF2405A2EB4AF2C3AD6D6DCABFC4A02A86A1265E4B0A1430A4FF7038753499147C3974ECD18E5C29E2C9AA62938E9F31E3818395978DE38FDF0EC1CFBBF7C06E9A297996E8D6AD3BF4ECD70F1A378E863A75426966B3858913A78A98E2B3CF3FBE696660A3E01FBEC22261795CCEC880C7FB0D0065910E9690FBDABC55B3F259500C83A27CE556D420B061DC3FF00A837175887E7929F0D1EE03D0CED605DF9F320935AA52D4EB55744B43B9A4C4CBA6F24A9186A2493991EB42796F4EBC5448B7B14CA1C6947369387FDE221C317C24464636C6D0A0BAD8BD4B4F7CEAC9E1D828AA293EDE6B209E493E832AA51AC9B532AE7CF1AA0AAFDAE8F07CEA798C8F698E412E3E58DB3308E3229A60D7969DB16E706DF4B071461F6B670CF30EC25E0F3F8AFBF71E10E518CC870C5EE0D51BA415A043078F62A7768FA0B7AB0FF67FF431DCBB7B0FEA797548AD219EA90CF34F348E1D3E82EDE25A60888F1FEE4BDC8306E2855788545ADE3FE0D5B10A997062A956065F23234695468313DF9A821EF6DEB8F0EB455407EF6B905CA9AE8AA443A54A85F9F9853877EE020CAFDB0083024270C0630371F3FA2D58565226E4CA2B79149F89F32B97AFE1C5B40CD1AECA2B479483F8E296B33CA98C4E8B3BB66E456F3777ECDDB937E65ECD137D446484BCC507C171CDC503300CA300E8C08AB462F91AF4F2F4C53A4141B86CD102542A78879B378EC8307813892467D630A84378E34F3608,Y         ,,1,09-JUL-24,SELL
1,Food1,100,31-DEC-24,,Y         ,1,1,06-JUL-24,
2,Food2,200,30-DEC-24,,N         ,2,2,06-JUL-24,
3,Food3,300,29-DEC-24,,Y         ,1,3,06-JUL-24,
4,Food4,400,28-DEC-24,,N         ,2,4,06-JUL-24,
5,Food5,500,27-DEC-24,,Y         ,1,5,06-JUL-24,
6,Food6,600,26-DEC-24,,N         ,2,6,06-JUL-24,
7,Food7,700,25-DEC-24,,Y         ,1,7,06-JUL-24,
8,Food8,800,24-DEC-24,,N         ,2,8,06-JUL-24,
9,Food9,900,23-DEC-24,,Y         ,1,9,06-JUL-24,
